12-31	7449	3	浦发银行(600000)融资融券信息(12-30)	浦发银行(600000)2016-12-30融资融券信息显示，浦发银行融资余额2,321,012,003元，融券余额37,967,921.13元，融资买入额13,847,127元，融资偿还额24,953,404元，融资净买额-11,106,277元，融券余量2,342,253股，融券卖出量136,100股，融券偿还量64,700股，融资融券余额2,358,979,924.13元。浦发银行融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-30600000浦发银行2,358,979,924.13融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)2,321,012,00313,847,12724,953,404-11,106,277融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)37,967,921.132,342,253136,10064,700沪市全部融资融券数据一览 浦发银行融资融券数据（来源：东方财富网 2016-12-31 07:33）	...................京城股份(600860)和拓中股份，又涨停大家讨论...................京城股份(600860)和拓中股份，又涨停大家讨论...................京城股份(600860)和拓中股份，又涨停大家讨论...................京城股份(600860)和拓中股份，又涨停大家讨论...................京城股份(600860)和拓中股份，又涨停大家讨论...................京城股份(600860)和拓中股份，又涨停大家讨论 国企重组改革势在必行，不容置疑。任何邪恶势力底部砸盘打压建仓的阴谋都不会得逞。国企重组改革的步伐将无情的踩踏螳臂当车的小丑。 把握中国航空发动机突破机遇: 注册资金500亿的中国航发集团8月28日正式成立，整合了成发科技，中航动力，中航动控三家上市公司.中国航发成立后，后续还会有很多资产整合和注入工作，另外至少千亿级别的航空发动机和燃气轮机两机专项还要出台，中国航发三剑客，稀缺性，垄断性，战略性，确定性，必然性齐备，国家意志，国力聚焦，大戏开场，必出牛股！中国崛起，军用民用航空发动机需求总量急剧扩大，承担国家重点型号发动机研制生产的成发科技（600391）市值较小，资产注入概率高，发动机军民大飞机通用，成长空间巨大！ 
12-30	4209	0	浦发银行(600000)融资融券信息(12-29)	浦发银行(600000)2016-12-29融资融券信息显示，浦发银行融资余额2,332,118,280元，融券余额36,492,607.71元，融资买入额18,429,341元，融资偿还额18,895,924元，融资净买额-466,583元，融券余量2,270,853股，融券卖出量70,968股，融券偿还量35,000股，融资融券余额2,368,610,887.71元。浦发银行融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-29600000浦发银行2,368,610,887.71融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)2,332,118,28018,429,34118,895,924-466,583融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)36,492,607.712,270,85370,96835,000沪市全部融资融券数据一览 浦发银行融资融券数据（来源：东方财富网 2016-12-30 07:34）	
12-29	4917	0	浦发银行(600000)融资融券信息(12-28)	浦发银行(600000)2016-12-28融资融券信息显示，浦发银行融资余额2,332,584,863元，融券余额35,959,299.65元，融资买入额11,945,019元，融资偿还额11,479,969元，融资净买额465,050元，融券余量2,234,885股，融券卖出量635,339股，融券偿还量343,838股，融资融券余额2,368,544,162.65元。浦发银行融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-28600000浦发银行2,368,544,162.65融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)2,332,584,86311,945,01911,479,969465,050融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)35,959,299.652,234,885635,339343,838沪市全部融资融券数据一览 浦发银行融资融券数据（来源：东方财富网 2016-12-29 07:33）	
12-28	5315	1	浦发银行(600000)融资融券信息(12-27)	浦发银行(600000)2016-12-27融资融券信息显示，浦发银行融资余额2,332,119,813元，融券余额31,366,217.76元，融资买入额19,166,526元，融资偿还额11,370,931元，融资净买额7,795,595元，融券余量1,943,384股，融券卖出量24,950股，融券偿还量351,600股，融资融券余额2,363,486,030.76元。浦发银行融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-27600000浦发银行2,363,486,030.76融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)2,332,119,81319,166,52611,370,9317,795,595融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)31,366,217.761,943,38424,950351,600沪市全部融资融券数据一览 浦发银行融资融券数据（来源：东方财富网 2016-12-28 07:34）	满仓 满仓 满仓 财力 牛 满仓 加仓 〓东莞控股（000828）实际流通3.13亿股，低市盈率。是价值投资者的最佳选择标的。〓----------------------- --东莞证券上市快了-------东莞控股--------------------------1、东莞证券股本上市前15亿股，拟发行1.67亿，总股本16.7亿股。上市后具备“券商里流通市值最小”的概念。有望成为券商新的旗帜。东莞控股（000828）持有20%股份3亿股。2、东莞证券盈利能力超强：2014年净利润6.27亿，2015年净利润14.61亿，2016年半年度净利润3.54亿，东莞证券是名符其实的绩优券商。东莞控股业绩和题材双驱动，将创历史新高。3、目前IPO已经明显提速了，12月23日东莞证券中小板排名第29位，按目前节奏就将上会通过就等于IPO成功了。4、东莞控股每股收益去年0.78元，今年0.83元。新两融标的，市盈率16倍，到300倍可以涨18倍。 
12-27	5940	1	浦发银行(600000)融资融券信息(12-26)	浦发银行(600000)2016-12-26融资融券信息显示，浦发银行融资余额2,324,324,218元，融券余额36,888,052.50元，融资买入额16,023,421元，融资偿还额52,815,761元，融资净买额-36,792,340元，融券余量2,270,034股，融券卖出量53,900股，融券偿还量70,200股，融资融券余额2,361,212,270.50元。浦发银行融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-26600000浦发银行2,361,212,270.50融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)2,324,324,21816,023,42152,815,761-36,792,340融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)36,888,052.502,270,03453,90070,200沪市全部融资融券数据一览 浦发银行融资融券数据（来源：东方财富网 2016-12-27 07:33）	把握中国航空发动机突破机遇:注册资金500亿的中国航发集团8月28日正式成立，整合了成发科技，中航动力，中航动控三家上市公司.中国航发成立后，后续还会有很多资产整合和注入工作，另外至少千亿级别的航空发动机和燃气轮机两机专项还要出台，国家意志，国力聚焦，大戏开场，必出牛股！中国崛起，军用民用航空发动机需求总量急剧扩大，承担国家重点型号发动机研制生产的成发科技（600391）市值较小，资产注入概率高，发动机军民大飞机通用，成长空间巨大 
12-24	6978	1	浦发银行(600000)融资融券信息(12-23)	浦发银行(600000)2016-12-23融资融券信息显示，浦发银行融资余额2,361,116,558元，融券余额37,015,747.46元，融资买入额45,673,941元，融资偿还额15,121,428元，融资净买额30,552,513元，融券余量2,286,334股，融券卖出量82,100股，融券偿还量77,420股，融资融券余额2,398,132,305.46元。浦发银行融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-23600000浦发银行2,398,132,305.46融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)2,361,116,55845,673,94115,121,42830,552,513融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)37,015,747.462,286,33482,10077,420沪市全部融资融券数据一览 浦发银行融资融券数据（来源：东方财富网 2016-12-24 07:34）	把握中国航空发动机突破机遇:注册资金500亿的中国航发集团8月28日正式成立，整合了成发科技，中航动力，中航动控三家上市公司.中国航发成立后，后续还会有很多资产整合和注入工作，另外至少千亿级别的航空发动机和燃气轮机两机专项还要出台，国家意志，国力聚焦，大戏开场，必出牛股！中国崛起，军用民用航空发动机需求总量急剧扩大，承担国家重点型号发动机研制生产的成发科技（600391）市值较小，资产注入概率高，发动机军民大飞机通用，成长空间巨大 
12-23	14509	9	浦发银行(600000)大宗交易数据一览(12-23)	浦发银行(600000)2016-12-23大宗交易信息显示：大宗交易平台以14.58元的成交价成交16.50万（股/份/张），成交金额达240.57万元。浦发银行大宗交易成交主要信息如下： 交易日期2016-12-23 股票代码600000 股票简称浦发银行 成交价格14.58 成交数量16.50 成交金额240.57 买方中信建投证券股份有限公司上海市徐家汇路证券营业部 卖方中信建投证券股份有限公司上海市徐家汇路证券营业部浦发银行全部大宗交易数据 沪深两市全部大宗交易数据一览注：1、成交价： A股、基金、债券——元（人民币），B股——元（美元／港币）；2、成交金额： A股、基金、债券——万元（人民币），B股——万元（美元／港币）3、成交量： 股票——万股，基金——万份，债券-- 上海：万手； 深圳：手 （来源：东方财富网 2016-12-23 18:09）	鼓掌 鼓掌 不屑 卖给我不行吗？ 赞 此地无银 这个价，这个量，我也能买，卖给我行不？ 一个营业部，什么意思这是？自己买自己卖？ 对倒玩。 傻逼 卖我啊 我加你五毛 献花 哭 200多万直接卖不行吗还至于上大宗，能大气点吗？人家格力大宗低价倒手一次都是好几亿。 
12-23	4619	4	浦发银行(600000)融资融券信息(12-22)	浦发银行(600000)2016-12-22融资融券信息显示，浦发银行融资余额2,330,564,045元，融券余额36,939,978.26元，融资买入额21,351,446元，融资偿还额10,728,381元，融资净买额10,623,065元，融券余量2,281,654股，融券卖出量81,700股，融券偿还量53,500股，融资融券余额2,367,504,023.26元。浦发银行融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-22600000浦发银行2,367,504,023.26融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)2,330,564,04521,351,44610,728,38110,623,065融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)36,939,978.262,281,65481,70053,500沪市全部融资融券数据一览 浦发银行融资融券数据（来源：东方财富网 2016-12-23 07:34）	快换股了，了了了了了了了了了了了了了了了了。铁路基建将是未来中国经济的支柱！随着国家加大对房地产政策调整，房地产黄金十年已经过去,地产股将进入长期下降通道。加大对高铁投资力度是国家战略，2016年国家对高铁投资超万亿元创历史新高，加上地方对城际铁路和地铁投资的2万亿，铁路基建企业将经历辉煌的十年，业绩将爆发式增长。铁路基建支撑未来中国经济的发展，底部重点关注股票：中国铁建，中国中铁，中铁二局，中国中车，中国交建，中国电建，中国建筑，宝钢股份，中煤能源，中国化学，中国联通，中国西电，中国核电，三一重工....等等，二线低价蓝筹才是未来股市主力军，克服恐惧，大胆买入，耐心持有，必有厚报，享受从低价股到高价股财产增值乐趣，主力打压建仓是散户来之不易的低吸良机，现在不低买，等待何时？业绩见顶，没有支撑，单凭讲故事忽悠散户的高价题材股从哪里涨上去还会跌到哪里，炒股最悲惨的事就是从高价股变成低价股财产贬值的痛苦，见好就收，贪心必套。二八风格已经转换，‘一带一路’概念股将是未来股市的投资主题。‘一带一路’已经启动，现在买入还不迟，回调就是买入良机。 把握中国航空发动机突破机遇:注册资金500亿的中国航发集团8月28日正式成立，整合了成发科技，中航动力，中航动控三家上市公司.中国航发成立后，后续还会有很多资产整合和注入工作，另外至少千亿级别的航空发动机和燃气轮机两机专项还要出台，国家意志，国力聚焦，大戏开场，必出牛股！中国崛起，军用民用航空发动机需求总量急剧扩大，承担国家重点型号发动机研制生产的成发科技（600391）市值较小，资产注入概率高，发动机军民大飞机通用，成长空间巨大 601003继续加仓服不服？不服可以继续打压。傻逼庄。喝茶品点，你们继续磨。大股东在，庄就在，庄现价不也套着咩！怕毛。601003庄傻蛋，打压也不会收到任何筹码的。出你个毛。全部出给散户吧？白菜价，主力傻逼？柳钢整体搬迁接手武钢防城港项目，大股东资产注入。 123321 
12-22	3777	1	浦发银行(600000)融资融券信息(12-21)	浦发银行(600000)2016-12-21融资融券信息显示，浦发银行融资余额2,319,940,980元，融券余额36,776,369.28元，融资买入额35,126,628元，融资偿还额24,119,399元，融资净买额11,007,229元，融券余量2,253,454股，融券卖出量36,500股，融券偿还量183,200股，融资融券余额2,356,717,349.28元。浦发银行融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-21600000浦发银行2,356,717,349.28融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)2,319,940,98035,126,62824,119,39911,007,229融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)36,776,369.282,253,45436,500183,200沪市全部融资融券数据一览 浦发银行融资融券数据（来源：东方财富网 2016-12-22 07:35）	.........万达................借壳.....................中体产业..........成功吗.........万达................借壳.....................中体产业..........成功吗.........万达................借壳.....................中体产业..........成功吗.........万达................借壳.....................中体产业..........成功吗.........万达................借壳.....................中体产业..........成功吗.........万达................借壳.....................中体产业..........成功吗 
12-22	3885	0	浦发银行副行长姜明生申请辞职	　　今年以来，银行业高管变化频繁。　　12月21日，21世纪经济报道从多个信息源获悉，浦发银行副行长姜明生正从浦发离职，下一站或赴民营银行。目前，相关离职手续还在办理中。21世纪经济报道记者就此消息电话和短信联系姜明生 ，截至发稿前，均未得回复。　　姜明生出生于1960年8月，现年56岁，自2007年加入浦发任副行长已近十年。浦发内部人士评价，姜明生属于管理型领导，抓大放小，给下属较大的业务空间。　　公开资料显示，姜明生先后就职于工商银行和招商银行，在招行期间曾历任北京分行行长助理，广州分行副行长，总行公司部总经理和上海分行行长。　　2007年4月，姜明生加盟浦发出任党委委员，并于当年9月出任副行长。自2009年11月起，其还兼任浦发旗下子公司浦银安盛(基金)的董事长。　　2013年，浦发内部副行长分工经过调整后，姜明生分管大零售板块，包括信用卡和中小企业业务。　　以对公业务见长的浦发，近两年来在零售方面“猛补短板”，可谓花了大力气。今年以来，其信用卡业务各项增长数据更是在股份行中遥遥领先。　　“应该这样说，姜行长之前的徐海燕副行长给浦发的零售发展打下一些基础，做了一些制度方面的安排。加上这两年对公业务发展疲软，零售的优势就凸显出来了。”有浦发银行内部人士向21世纪经济报道记者表示。　　截至今年上半年，浦发银行信用卡业务在零售信贷中份额达到23.7%，同比涨幅4.5%，涨幅在15家上市银行中排名第一(15家中仅有3家为正增长)。信用卡交易额同比增长48%，增速与平安并列第一；信用卡业务收入为112.68亿元，规模与中信银行相当，同比涨幅高达117%(中信涨幅为32%)。银联数据分析报告显示，结合银行披露的流通卡来计算上半年卡均收入，招行为530元/卡，浦发为853元/卡，银联数据客户平均为701元/卡。　　姜明生在11月银行业例行新闻发布会上透露，浦发银行有98%的个人财富类业务通过“spdb+”渠道办理。　　不过，在互联网战略方面，浦发银行还面临一些挑战。2015年7月，浦发正式启动互联网金融发展战略“spdb+”。彼时，银行业高度关注互联网化转型。工行就在当年3月率先对外发布了其互联网战略，包括“融e购”电商平台、“融e联”即时通讯平台和“融e行”直销银行平台三大平台。　　“在互联网化方面，传统金融机构面临不少挑战。浦发还需要作出更多努力，拿出令人印象深刻的产品来脱颖而出。但这也是整个银行业普遍面临的问题。”有股份行零售人士表示。（来源：21世纪经济报道 2016-12-22 00:06）	
12-22	4935	6	浦发副行长姜明生或赴任民营银行	　　证券时报记者日前获悉，浦发银行副行长姜明生正在办理离职手续，将辞去该行职务，下一站较大可能是前往正在筹备中的张江科技银行。　　浦发银行对记者回复称，尚未获取相关通知，目前姜明生仍在正常履职。　　事实上，有关姜明生离职的消息此前已有传闻，但此前传闻并未提及离职后去向。公开资料显示，姜明生现年56岁，先后在工行、招行、浦发任职，其中在招行历任北京分行行助、广州分行副行长、总行公司部总经理，随后调任上海分行，陆续担任分行副行长(主持工作)、分行行长。2007年4月加入浦发银行任总行党委委员，当年9月起任浦发银行总行副行长。　　在2013年浦发内部变动中，原来兼任上海分行行长并主要负责上海业务的姜明生被调整至分管大零售板块，包括信用卡以及原公司及投行业务总部下辖二级部的中小企业业务。　　浦发银行2016年半年报对零售银行的总结是“稳步发展”，具体而言，财富管理、零售信贷和信用卡三驾马车加速发展；“spdb+”互联网金融服务平台建设进一步推进；持续推进社区银行建设，加快推进网点转型试点，社区银行经营管理能力进一步提升。　　其中，在该行近年迅速发展的信用卡业务方面，截至6月末，该行信用卡贷款余额在个人贷款余额中占比较年初上升4.52个百分点至23.43%，信用卡透支余额较年初增长55%至1717.33亿元，信用卡客户量、交易额、营业收入均较年初高速增长。（来源：证券时报 2016-12-22 04:36）	这篇新闻讲得好 这篇新闻讲得好 这篇新闻讲得好 愿浦发，普发！ 愿浦发，普发！ 自从有了什么深港通，看看香港股市被万恶的大陆股市拖累个什么熊样了，香港股民的悲哀。 
