12-31 	19376	0	祝大家新年快乐，在2017年有个好收成！！！	祝大家新年快乐，在2017年有个好收成！！！	
12-30 	21211	0	年线大阴棒子，跌了将近40个点，牛逼！	相当于开年前几天熔断时候的价格，就算你熔断买到最低点，也没什么多大收益，还有什么股票比这票牛逼的	
12-30 	20456	0	停牌了吗？怎么没动静？？	停牌了吗？怎么没动静？？停牌了吗？怎么没动静？？	
12-30 	21579	0	这公司本年度敛财巨大富的流油，正在多方面投资扩张同时隐藏利润！	这公司本年度敛财巨大富的流油，正在多方面投资扩张同时隐藏利润！	
12-29 	21023	0	老A.我就静静地看着你装逼。从来都没有股比过你	老A.我就静静地看着你装逼。从来都没有股比过你	
12-29 	18388	0	a股国家不让跌，2800是大底，国家队直接石油，	a股国家不让跌，2800是大底，国家队直接石油，	
12-29 	17285	0	外盘这么大才涨这么一点点，真是醉了，下跌的速度功夫咋不弄出来用	外盘这么大才涨这么一点点，真是醉了，下跌的速度功夫咋不弄出来用	
12-29 	17643	0	今天上涨一点点为了明天更好的下跌出货。。。	今天上涨一点点为了明天更好的下跌出货。。。	
12-29 	18631	0	没有量的上涨就是耍流氓	天天就是无量上涨一点 然后 带量下跌 股市真应该像国外的一样是机构在做	
12-28 	19783	0	市场风格已悄然转换，抓住机会迎接新一轮行情的到来！！！	最近一个月A股的大跌都是为养老金入市所做的幕后操纵，证监会的故意打压，IPO的史无前例的加速发行，央行的回购等等，完全是为了给养老金砸出一个深坑好让它已很多的价格入市。 机会都是跌出来的，坑在哪里挖，行情就在哪里出。不能够在行情来临的时候只看到坑，而没有看到赚钱的时机，赚钱的人往往会是少部分人，那么此时就要用不同的眼光去看待行情！养老金入市在即，目前选好相关个股才是关键（自己把握不好，也可咨询）【操作策略】：从最近几日的走势来看，指数每一次下探最终都会被拉起，说明下跌空间有限，与此同时，量能的持续萎缩，年底资金紧缩，市场人气降至一定低点，随时都有变盘可能。具体操作上，逢低可逐步加仓，重点关注西安自贸区、非汽车交运等板块，也可来问【操作分享】我在这个月14号提示大家关注柘中.股份，三十几个点涨幅，也是感觉到了我的预期。提示朋友们落袋为安。虽然后市继续上冲，但是我不后悔，稳步获利才是我的理念还有在本月16号说到了林海.股份可能要启动，有仓位的朋友适当进场。果然不负众望，也是几十个点到手。在近期也算是大吃了一口肉。昨天提示大家进的票，午后封死涨停，大家都乐开了花吧，不要急着出局，上方还有空间。具体操作上，等我通知就可以了。（每天盘前友圈都有送出）年底了，近期也会再帮大家选几只热点强势票，有兴趣可以看看。实盘买卖指导，推荐给大家做参考。——把握投资心态—— 1、赚钱了不要过于沾沾自喜，赔钱了也不要过于垂头丧气。时刻保持心态平衡，对自己的交易持职业化的观点。 2、不要认定交易中一定会这样或者那样。你所要寻求的是对事实的深思熟虑，而不是盲目猜测。	
12-28 	19492	0	都快跑吧，大盘还得跌。会不会跌倒2400点	都快跑吧，大盘还得跌。会不会跌倒2400点	
12-28 	19288	0	居然不表演了！真是令人失望！你的大单呢？	居然不表演了！真是令人失望！你的大单呢？	
12-28 	18709	0	大单砸出来的人有神经病，之前十六七元的时候不跑，现在在跑，脑子进水	大单砸出来的人有神经病，之前十六七元的时候不跑，现在在跑，脑子进水	
12-28 	17624	0	昨天是两万五千手，今天才砸了一万四千手。还有一万手没有砸呢！	昨天是两万五千手，今天才砸了一万四千手。还有一万手没有砸呢！	
12-28 	18583	0	我觉得~	我觉得把。就算是筑底过程 也还很漫长 这样大单砸出，散户小单跟进。 就算没有大动作，也是一天比一天低，最近大盘又不好。我觉得大家可以考虑留个底仓先出来。	
12-28 	17845	1	大单今天才出了一半，还有一半呢！下午等着吧！	大单今天才出了一半，还有一半呢！下午等着吧！	3、隐性买卖盘在买卖成交中，有的价位并未在委买卖挂单中出现，却在成交一栏里出现了，这就是隐性买卖盘，其中经常蕴含庄家的踪迹。单向整数连续隐性买单的出现，而挂盘并无明显变化，一般多为主力拉升初期的试盘动作或派发初期激活追涨跟风盘的启动盘口。一般来说，上有压板，而出现大量隐性主动性买盘（特别是大手笔），股价不跌，则是大幅上涨的先兆。下有托板，而出现大量隐性主动性卖盘，则往往是庄家出货的迹象。4、低迷期的大单首先，当某只股票长期低迷，某日股价启动，卖盘上挂出巨大抛单（每笔经常上百、上千手），买单则比较少，此时如果有资金进场，将挂在卖一、卖二、卖三档的压单吃掉，可视为是主力建仓动作。注意，此时的压单并不一定是有人在抛空，有可能是庄家自己的筹码，庄家在造量吸引注意。大牛股在启动前就时常出现这种情况。5、盘整时的大单当某股在某日正常平稳的运行之中，股价突然被盘中出现的上千手大抛单砸至跌停板附近，随后又被快速拉起；或者股价被突然出现的上千手大买单拉升然后又快速归位。表明有主力在其中试盘，主力向下砸盘，是在试探基础的牢固程度，然后决定是否拉升。该股如果一段时期总收下... 
12-28 	17234	1	这应该是对敲吧？把股票让给另外一个的迹象啊	不然砸那么猛，还是毫不犹豫有人在接，是好是坏看接盘的实力了。	你是明白人 
12-28 	16509	0	解惑！	3、隐性买卖盘 在买卖成交中，有的价位并未在委买卖挂单中出现，却在成交一栏里出现了，这就是隐性买卖盘，其中经常蕴含庄家的踪迹。单向整数连续隐性买单的出现，而挂盘并无明显变化，一般多为主力拉升初期的试盘动作或派发初期激活追涨跟风盘的启动盘口。 一般来说，上有压板，而出现大量隐性主动性买盘（特别是大手笔），股价不跌，则是大幅上涨的先兆。下有托板，而出现大量隐性主动性卖盘，则往往是庄家出货的迹象。 4、低迷期的大单 首先，当某只股票长期低迷，某日股价启动，卖盘上挂出巨大抛单（每笔经常上百、上千手），买单则比较少，此时如果有资金进场，将挂在卖一、卖二、卖三档的压单吃掉，可视为是主力建仓动作。注意，此时的压单并不一定是有人在抛空，有可能是庄家自己的筹码，庄家在造量吸引注意。大牛股在启动前就时常出现这种情况。 5、盘整时的大单 当某股在某日正常平稳的运行之中，股价突然被盘中出现的上千手大抛单砸至跌停板附近，随后又被快速拉起；或者股价被突然出现的上千手大买单拉升然后又快速归位。表明有主力在其中试盘，主力向下砸盘，是在试探基础的牢固程度，然后决定是否拉升。该股如果一段时期总收下影线，则向上拉升可能大，反之出逃可能性大。 6、下跌后的大单 某只个股经过连续下跌，在其买一、买二、买三档常见大手笔买单挂出，这是绝对的护盘动作，但这不意味着该股后市止跌了。因为在市场中，股价护是护不住的，“最好的防守是进攻”，主力护盘，证明其实力欠缺，否则可以推升股价。此时，该股股价往往还有下降空间。但投资者可留意该股，因为该股套住了庄，一旦市场转强，这种股票往往一鸣惊人。	
12-28 	16898	1	这家公司 要倒闭了？	我们是小散 先知先觉的资金 可能知道了什么 争着跑 又怕小散跑了 就出一单 拉点上来 出一单 拉点上来 昨天 是砸一下就拉 今天是砸2下拉 明天就是3下了 后天就跌停 最后出消息	有点道理！不过，我还是选择持股不动！毕竟这价位了！！怕个鸟！！！ 
12-28 	17695	0	为什么华泰证券显示每股净资产是12块而东方财富网才7块呢	为什么华泰证券显示每股净资产是12块而网才7块呢	
